Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Korea,21,DAEGU,875,DAEGU F.O.,336319,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/14/2011,6/6/2020,336319-XAR647232,10,October 2022,,,10
Korea,21,DAEGU,875,DAEGU F.O.,332961,70,DIEBOLD ACM,9001,3/11/2003,6/27/2018,332961-R10620538261,19,October 2022,,,19
Korea,21,DAEGU,875,DAEGU F.O.,333019,70,DIEBOLD ACM,9001,3/12/2003,1/30/2019,333019-R10620537528,19,October 2022,,,19
Korea,21,DAEGU,875,DAEGU F.O.,333435,70,ITC Smart Card Dispenser,1018,12/9/2003,1/30/2019,333435-23748,18,October 2022,,,18
Korea,21,DAEGU,875,DAEGU F.O.,333475,60,IGT iGAME CARNIVAL MYS 243 01,580,8/12/2004,8/2/2020,333475-1349272,18,October 2022,,,18
Korea,21,DAEGU,875,DAEGU F.O.,332939,70,DIEBOLD ACM,9001,9/21/2002,3/2/2009,332939-R10620534200,20,October 2022,,,20
Korea,21,DAEGU,875,DAEGU F.O.,335527,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/19/2008,3/5/2022,335527-346827,14,October 2022,,,14
Korea,21,DAEGU,875,DAEGU F.O.,335528,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/19/2008,3/5/2022,335528-346817,14,October 2022,,,14
Korea,21,DAEGU,875,DAEGU F.O.,335823,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/19/2014,3/26/2022,335823-642976,8,October 2022,,,8
Korea,21,DAEGU,875,DAEGU F.O.,336099,60,NOV PREM V+ 1ST MULTI-DENOM,4007,9/18/2014,6/25/2021,336099-642955,8,October 2022,,,8
Korea,21,DAEGU,875,DAEGU F.O.,336317,60,AIN A560 MULTI WIN15 (SAP-MJP),1381,12/14/2011,6/6/2020,336317-XAR647240,10,October 2022,,,10
Korea,21,DAEGU,875,DAEGU F.O.,336318,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/14/2011,6/27/2018,336318-XAR647231,10,October 2022,,,10
Korea,21,DAEGU,875,DAEGU F.O.,333274,70,ITC Smart Card Dispenser,1018,7/3/2005,3/2/2009,333274-220536681,17,October 2022,,,17
Korea,24,PYONGTAEK,897,PFO STORAGE,337958,60,NOV VIP EDITION 5/$4.00,3126,10/18/2017,9/16/2020,337958-724447,5,October 2022,,,5
Korea,24,PYONGTAEK,897,PFO STORAGE,337956,60,NOV VIP EDITION 5/$4.00,3126,10/18/2017,9/16/2020,337956-724446,5,October 2022,,,5
Korea,24,PYONGTAEK,897,PFO STORAGE,337939,60,BAL PRO CURVE QHBW (MLP),3215,9/27/2017,8/2/2021,337939-B170502921,5,October 2022,,,5
Korea,24,PYONGTAEK,897,PFO STORAGE,337690,60,WMS BLADE MULTI CHEST 4,1867,12/20/2016,3/27/2020,337690-5105390,5,October 2022,,,5
Korea,24,PYONGTAEK,897,PFO STORAGE,337688,60,WMS BLADE MULTI CHEST 3,1866,12/20/2016,3/27/2020,337688-5105388,5,October 2022,,,5
Korea,24,PYONGTAEK,897,PFO STORAGE,337005,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,9/17/2020,337005-668829,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,338401,70,M3T ACK,9008,7/2/2022,7/2/2022,338401-221111168,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,336895,60,WMS BLADE GOLDFISH 3,1857,8/26/2015,4/28/2020,336895-5088530,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,337003,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,5/14/2020,337003-668827,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,337018,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,8/20/2015,5/14/2020,337018-668842,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,338402,70,M3T ACK,9008,7/2/2022,7/2/2022,338402-221111169,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,338403,70,M3T ACK,9008,7/2/2022,7/2/2022,338403-221111170,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,338404,70,M3T ACK,9008,7/2/2022,7/2/2022,338404-221111171,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,338408,70,M3T ACK,9008,7/2/2022,7/14/2022,338408-221121175,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,338409,70,M3T ACK,9008,7/2/2022,7/2/2022,338409-221121176,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,339250,60,KON CRES S/B/B JUNGLE BOUNTY,3544,4/15/2018,5/20/2021,339250-137155,4,October 2022,,,4
Korea,24,PYONGTAEK,897,PFO STORAGE,339248,60,KON CRES S/B/B JUNGLE BOUNTY,3544,4/15/2018,5/20/2021,339248-137153,4,October 2022,,,4
Korea,24,PYONGTAEK,897,PFO STORAGE,339249,60,KON CRES S/B/B VOLCANO BOUNTY,3545,4/15/2018,5/20/2021,339249-137154,4,October 2022,,,4
Korea,24,PYONGTAEK,897,PFO STORAGE,336894,60,WMS BLADE MULTI CHEST 2,1856,8/26/2015,12/3/2021,336894-5088529,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,338410,70,M3T ACK,9008,7/2/2022,7/2/2022,338410-221121177,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,338411,70,M3T ACK,9008,7/2/2022,7/2/2022,338411-221121178,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,333443,70,ITC Smart Card Dispenser,1018,10/16/2003,9/10/2020,333443-23728,19,October 2022,,,19
Korea,24,PYONGTAEK,897,PFO STORAGE,336893,60,WMS BLADE MULTI CHEST 1,1855,8/26/2015,12/3/2021,336893-5088528,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,338412,70,M3T ACK,9008,7/2/2022,7/2/2022,338412-221121179,0,October 2022,,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,125376,740,IBM SUREPOS 4852,2038,9/26/2010,3/25/2020,125376-41C8987,12,October 2022,,,12
Korea,24,PYONGTAEK,897,PFO STORAGE,333221,70,DIEBOLD ACM,9001,8/11/2004,9/10/2020,333221-R10620538809,18,October 2022,,,18
Korea,24,PYONGTAEK,897,PFO STORAGE,333439,70,ITC Smart Card Dispenser,1018,10/16/2003,9/10/2020,333439-23751,19,October 2022,,,19
Korea,24,PYONGTAEK,897,PFO STORAGE,333445,70,ITC Smart Card Dispenser,1018,10/16/2003,9/10/2020,333445-23713,19,October 2022,,,19
Korea,24,PYONGTAEK,897,PFO STORAGE,335644,70,ITC Smart Card Dispenser,1018,3/6/2007,9/10/2020,335644-500647708,15,October 2022,,,15
Korea,24,PYONGTAEK,897,PFO STORAGE,336275,70,e-Cash ACM,9006,5/8/2014,4/21/2020,336275-7070891,8,October 2022,,,8
Korea,24,PYONGTAEK,897,PFO STORAGE,336574,60,WMS BLADE MULTI CHEST 5,1868,10/17/2015,5/14/2020,336574-5091348,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,336575,60,WMS BLADE MULTI CHEST 6,1869,10/17/2015,5/14/2020,336575-5091328,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,336847,60,BAL PRO CURVE QHBG (MLP),3210,8/26/2015,10/3/2019,336847-B150531087,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,333433,70,ITC Smart Card Dispenser,1018,12/9/2003,12/22/2018,333433-23746,18,October 2022,,,18
Korea,24,PYONGTAEK,897,PFO STORAGE,336848,60,BAL PRO CURVE QHBG (MLP),3210,8/26/2015,10/3/2019,336848-B150531088,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,336576,60,WMS BLADE MULTI CHEST 5,1868,10/17/2015,3/27/2020,336576-5091349,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,336804,60,WMS BLADE MULTI CHEST 6,1869,2/27/2015,7/17/2022,336804-5077261,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,336784,70,CountR ACM,9007,9/11/2015,4/21/2020,336784-100100149,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,336692,60,NOV DOM PREMIUM ED 3 - 0.01,3084,3/7/2014,3/5/2020,336692-618385,8,October 2022,,,8
Korea,24,PYONGTAEK,897,PFO STORAGE,336671,70,ITC Smart Card Dispenser,1018,4/3/2008,4/6/2019,336671-0801281,14,October 2022,,,14
Korea,24,PYONGTAEK,897,PFO STORAGE,336578,60,WMS BLADE MULTI CHEST 6,1869,10/17/2015,3/27/2020,336578-5091352,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,336577,60,WMS BLADE MULTI CHEST 2,1856,10/17/2015,10/12/2018,336577-5091336,7,October 2022,,,7
Korea,24,PYONGTAEK,897,PFO STORAGE,336750,70,ITC Smart Card Dispenser,1018,9/18/2015,3/8/2019,336750-C351530838,7,October 2022,,,7
Japan,98,,915,FAR EAST DIST OFC,126856,740,IBM SUREPOS 4852,2038,9/30/2010,8/27/2022,126856-41D1751,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,130592,740,IBM SUREPOS 4852,2038,10/15/2010,6/7/2015,130592-41D3372,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,126859,740,IBM SUREPOS 4852,2038,9/30/2010,9/23/2022,126859-41D2754,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,126858,740,IBM SUREPOS 4852,2038,9/30/2010,12/14/2018,126858-41D5486,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,126857,740,IBM SUREPOS 4852,2038,9/30/2010,8/3/2022,126857-41D0024,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,126855,740,IBM SUREPOS 4852,2038,9/30/2010,8/3/2022,126855-41D2759,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,126852,740,IBM SUREPOS 4852,2038,9/30/2010,8/3/2022,126852-41D2541,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,124645,740,IBM SUREPOS 4852,2038,9/28/2010,9/23/2022,124645-41D3940,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,116224,740,IBM SUREPOS 4852,2038,9/25/2010,9/25/2010,116224-41D3171,12,October 2022,,,12
Japan,98,,915,FAR EAST DIST OFC,117481,740,IBM SUREPOS 4852,2038,9/29/2010,8/3/2022,117481-41D2775,12,October 2022,,,12
Japan,22,ZAMA,958,ZFO STORAGE,335394,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/15/2008,6/24/2021,335394-346871,14,October 2022,,,14
