Loc,LNAME,PLACE,Open,Closed,KSI,CmtyNum,SVC,FONUM,FOSHORT,REGNUM,Region,SMSSection,SMSBank,MESSAGE,RptGrp,Shortname,Split,CMMTY,FOABRV,Month
330,LIVORNO COMM CLUB,Floor,4/1/2007,8/8/8888,30,3,Army,4,VICENZA,2,Europe,VZ02,E0,,Dave,LIVORNO C/C,20%,Vicenza,VIC,Dec-2021
413,ENTERTAINMENT CENTER GRAF,Floor,12/1/1996,8/8/8888,120,12,Army,46,VILSECK,2,Europe,VK02,E0,,Dave,GRAF E/C,20%,Bavaria,VIL,Dec-2021
415,HOHENFELS B/C,Floor,12/1/1996,8/8/8888,120,12,Army,46,VILSECK,2,Europe,VK03,E0,,Dave,HOHENFELS B/C,20%,Bavaria,VIL,Dec-2021
417,VILSECK B/C,Floor,12/1/2007,8/8/8888,120,12,Army,46,VILSECK,2,Europe,VK05,E0,,Dave,VILSECK B/C,20%,Bavaria,VIL,Dec-2021
437,ACTION LANES,Floor,10/4/2014,8/8/8888,40,4,Army,31,ANSBACH,2,Europe,AN01,E0,,Dave,ACTION LANES,20%,Ansbach/Illesheim,ANS,Dec-2021
438,STORCK BRK B/C,Floor,10/4/2014,8/8/8888,40,4,Army,31,ANSBACH,2,Europe,AN02,E0,,Dave,STORCK BRK B/C,20%,Ansbach/Illesheim,ANS,Dec-2021
770,DRAGON HILL LODGE,Floor,4/6/1994,8/8/8888,230,23,Army,20,SEOUL,4,Korea,SE01,K0,,Dave,DRAGON HILL,20%,DRAGON HILL LODGE,SEO,Dec-2021
776,"COMM CLUB, K-16",Floor,10/1/1993,8/8/8888,210,21,Army,20,SEOUL,4,Korea,SE02,K0,,Dave,K-16 C/C,20%,Yongsan,SEO,Dec-2021
797,IMPACT ZONE (GATEWAY CLUB),Floor,3/2/2008,8/8/8888,150,15,Army,23,UIJEONGBU,4,Korea,UJ03,K0,SMS Jun2019 (Gateway),Dave,IMPACT ZONE,20%,Camp Casey,UIJ,Dec-2021
798,"WARRIOR'S, CASEY-E",Floor,3/2/2008,8/8/8888,150,15,Army,23,UIJEONGBU,4,Korea,UJ04,K0,,Dave,WARRIOR'S,20%,Camp Casey,UIJ,Dec-2021
819,"BOWL CTR, CP CASEY",Floor,6/24/2013,8/8/8888,150,15,Army,23,UIJEONGBU,4,Korea,UJ01,K0,,Dave,CASEY B/C,20%,Camp Casey,UIJ,Dec-2021
839,HUMPHREYS B/C,Floor,2/1/2019,8/8/8888,180,78,Army,24,PYONGTAEK,4,Korea,PY03,K0,Open Feb 2019,Dave,HUMPHREYS B/C,20%,Camp Humphreys,PYO,Dec-2021
866,STATE'S GRILL,Floor,10/1/1993,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA04,K0,(Henry's),Dave,STATE'S GRILL,20%,Daegu,DAE,Dec-2021
867,"HILLTOP, CP WALKER",Floor,12/12/1994,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA01,K0,Reno Aug-Dec 2020,Dave,HILLTOP,20%,Daegu,DAE,Dec-2021
869,PERIMETER PUB,Floor,12/31/1984,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA03,K0,[See 891]-Clsd Reno,Dave,PERIMETER PUB,20%,Daegu,DAE,Dec-2021
870,WINDY CITY BOWL & GRILL,Floor,1/1/1999,8/8/8888,190,19,Army,21,DAEGU,4,Korea,DA06,K0,,Dave,WINDY CITY,20%,Daegu,DAE,Dec-2021
883,"COMM CLUB, CP ZAMA",Floor,2/1/1998,8/8/8888,340,24,Army,22,ZAMA,5,Japan,ZA02,J0,,Dave,ZAMA C/C,20%,Camp Zama,ZAM,Dec-2021
