REGION,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Aquire,Effective,SerialNum,PLACE,Age,Years in Storage,Months,Month
Korea,24,PYONGTAEK,897,PFO STORAGE,336671,70,ITC Smart Card Dispenser,1018,4/3/2008,4/6/2019,336671-0801281,Store,13,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336593,60,NOV PREM V+ 4ST MULTI-DENOM,4009,4/28/2015,5/14/2020,336593-658761,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336578,60,WMS BLADE MULTI CHEST 6,1869,10/17/2015,3/27/2020,336578-5091352,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336577,60,WMS BLADE MULTI CHEST 2,1856,10/17/2015,10/12/2018,336577-5091336,Store,6,3.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336576,60,WMS BLADE MULTI CHEST 5,1868,10/17/2015,3/27/2020,336576-5091349,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336575,60,WMS BLADE MULTI CHEST 6,1869,10/17/2015,5/14/2020,336575-5091328,Store,6,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336742,60,BAL PRO CURVE QHBG (MLP),3210,3/14/2015,2/12/2019,336742-B141219206,Store,6,2.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336372,60,BAL S9 QH GOLDEN BELL 25L10C,772,10/6/2009,9/10/2020,336372-S090819425,Store,12,1.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336803,60,WMS BLADE MULTI CHEST 2,1856,2/27/2015,8/10/2017,336803-5077257,Store,6,4.0,,Nov-21
Korea,24,PYONGTAEK,897,PFO STORAGE,336322,60,WMS BLADE MULTI CHEST 3,1866,3/6/2015,9/10/2020,336322-5077251,Store,6,1.0,,Nov-21
