Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337113,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,9/14/2016,3/25/2023,337113-239905,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337111,60,NOV NOVOSTAR 4ST MULTI-DENOM,4016,9/14/2016,3/25/2023,337111-159843,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337102,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,9/14/2016,3/25/2023,337102-300233,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336988,60,WMS BLADE MULTI CHEST 4,1867,10/7/2015,9/2/2023,336988-5091342,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336987,60,WMS BLADE MULTI CHEST 5,1868,10/7/2015,9/2/2023,336987-5091339,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336985,60,BAL V22/22 88 FORTUNES MLP,3254,10/7/2015,9/2/2023,336985-B150734296,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336984,60,BAL PRO CURVE QHTB7 600MAX MLP,3217,10/7/2015,9/2/2023,336984-B150734295,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336467,60,WMS BLADE MULTI CHEST 2,1856,3/7/2015,3/25/2023,336467-5077240,8,October 2023,,,8
Europe,4,VICENZA,333,VICENZA F. O.,337822,60,NOV DOM PREMIUM ED 3,3084,4/15/2015,8/3/2023,337822-657836,8,October 2023,,,8
Europe,4,VICENZA,333,VICENZA F. O.,336855,60,WMS BLADE MULTI CHEST 6,1869,5/20/2015,8/2/2023,336855-5077244,8,October 2023,,,8
Europe,4,VICENZA,333,VICENZA F. O.,336070,60,NOV CONCURVE ED 4,3092,10/13/2017,8/2/2023,336070-735486,6,October 2023,,,6
Europe,4,VICENZA,333,VICENZA F. O.,336853,60,WMS BLADE MULTI CHEST 2,1856,5/20/2015,9/27/2023,336853-5077231,8,October 2023,,,8
Europe,4,VICENZA,333,VICENZA F. O.,336072,60,NOV CONCURVE ED 4,3092,10/13/2017,8/3/2023,336072-735488,6,October 2023,,,6
Europe,4,VICENZA,333,VICENZA F. O.,336071,60,NOV CONCURVE ED 4,3092,10/13/2017,8/2/2023,336071-735487,6,October 2023,,,6
Europe,4,VICENZA,333,VICENZA F. O.,336852,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,9/27/2016,8/2/2023,336852-128930,7,October 2023,,,7
Europe,4,VICENZA,333,VICENZA F. O.,130634,740,IBM SUREPOS 4852,2038,10/15/2010,3/4/2021,130634-41D2752,13,October 2023,,,13
Europe,4,VICENZA,333,VICENZA F. O.,336854,60,WMS BLADE MULTI CHEST 6,1869,5/20/2015,9/27/2023,336854-5077237,8,October 2023,,,8
Europe,4,VICENZA,333,VICENZA F. O.,131727,740,IBM SUREPOS 4852,2038,10/15/2010,4/20/2021,131727-41D3169,13,October 2023,,,13
Europe,4,VICENZA,333,VICENZA F. O.,335691,60,NOV PREM V+ 1sT,3152,10/15/2008,6/22/2023,335691-345248,15,October 2023,,,15
Europe,4,VICENZA,333,VICENZA F. O.,335878,60,NOV PREM V+ 4ST MULTI-DENOM,4009,6/12/2008,6/22/2023,335878-358337,15,October 2023,,,15
Europe,4,VICENZA,333,VICENZA F. O.,336069,60,NOV DOM PREMIUM ED 3,3084,4/15/2015,8/3/2023,336069-657837,8,October 2023,,,8
Europe,4,VICENZA,333,VICENZA F. O.,336066,60,NOV DOM PREMIUM ED 3,3084,3/6/2014,8/3/2023,336066-618349,9,October 2023,,,9
Europe,4,VICENZA,333,VICENZA F. O.,336067,60,NOV DOM PREMIUM ED 3,3084,3/6/2014,8/3/2023,336067-618361,9,October 2023,,,9
Europe,4,VICENZA,333,VICENZA F. O.,336068,60,NOV DOM IMPERA HD5 400 Max,3083,11/18/2014,8/3/2023,336068-647807,8,October 2023,,,8
Europe,10,GARMISCH,614,GARMISCH F. O.,130617,740,IBM SUREPOS 4852,2038,10/15/2010,8/7/2012,130617-41C8871,13,October 2023,,,13
Korea,20,SEOUL,841,SEOUL FO,337455,60,NOV CONCURVE ED 4,3092,10/19/2017,9/20/2023,337455-735496,6,October 2023,,,6
Korea,20,SEOUL,841,SEOUL FO,337472,60,IGT CRYSTAL/DUAL MULTI 702,1951,12/8/2017,9/2/2023,337472-2384744,5,October 2023,,,5
Korea,20,SEOUL,841,SEOUL FO,337457,60,NOV CONCURVE ED 4,3092,10/19/2017,9/20/2023,337457-735498,6,October 2023,,,6
Korea,20,SEOUL,841,SEOUL FO,336269,60,NOV DOM PREMIUM ED 3,3084,3/8/2014,5/3/2023,336269-618404,9,October 2023,,,9
Korea,20,SEOUL,841,SEOUL FO,336261,60,NOV DOM PREMIUM ED 3,3084,3/8/2014,5/3/2023,336261-618375,9,October 2023,,,9
Korea,20,SEOUL,841,SEOUL FO,124647,740,IBM SUREPOS 4852,2038,9/28/2010,3/5/2020,124647-41D5498,13,October 2023,,,13
Korea,20,SEOUL,841,SEOUL FO,337470,60,IGT CRYSTAL/DUAL MULTI 701,1950,12/8/2017,9/2/2023,337470-2384598,5,October 2023,,,5
Korea,23,UIJEONGBU,843,UIJONGBU FO,335826,60,BAL PRO CURVE QHBG (MLP),3210,3/3/2015,9/2/2023,335826-B141219216,8,October 2023,,,8
Korea,23,UIJEONGBU,843,UIJONGBU FO,336892,60,WMS BLADE MULTI CHEST 5,1868,8/26/2015,10/2/2023,336892-5088527,8,October 2023,,,8
Korea,23,UIJEONGBU,843,UIJONGBU FO,337689,60,WMS BLADE MULTI CHEST 4,1867,12/20/2016,10/2/2023,337689-5105389,6,October 2023,,,6
Korea,23,UIJEONGBU,843,UIJONGBU FO,337682,60,WMS BLADE MULTI CHEST 3,1866,12/20/2016,9/2/2023,337682-5105405,6,October 2023,,,6
Korea,23,UIJEONGBU,843,UIJONGBU FO,337671,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,11/23/2016,10/2/2023,337671-240378,6,October 2023,,,6
Korea,23,UIJEONGBU,843,UIJONGBU FO,337670,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,11/23/2016,10/2/2023,337660-238891,6,October 2023,,,6
Korea,23,UIJEONGBU,843,UIJONGBU FO,337664,60,NOV NOVOSTAR 5ST MULTI-DENOM,4017,11/23/2016,9/13/2023,337664-166884,6,October 2023,,,6
Korea,23,UIJEONGBU,843,UIJONGBU FO,338303,60,IGT CRYSTAL D - MULTI SET 003,1966,7/2/2019,9/13/2023,338303-2468658,4,October 2023,,,4
Korea,23,UIJEONGBU,843,UIJONGBU FO,337015,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,9/2/2023,337015-668839,8,October 2023,,,8
Korea,23,UIJEONGBU,843,UIJONGBU FO,337009,60,NOV PREM V+ 5ST MULTI-DENOM,4010,8/20/2015,9/2/2023,337009-668833,8,October 2023,,,8
Korea,23,UIJEONGBU,843,UIJONGBU FO,335817,60,NOV PREM V+ 1ST MULTI-DENOM,4007,9/19/2014,9/2/2023,335817-642970,9,October 2023,,,9
Korea,23,UIJEONGBU,843,UIJONGBU FO,336596,60,NOV PREM V+ 4sT,3156,4/28/2015,9/2/2023,336596-658760,8,October 2023,,,8
Korea,23,UIJEONGBU,843,UIJONGBU FO,335816,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/19/2014,9/2/2023,335816-642969,9,October 2023,,,9
Korea,23,UIJEONGBU,843,UIJONGBU FO,336805,60,WMS BLADE MULTI CHEST 6,1869,2/27/2015,9/2/2023,336805-5077264,8,October 2023,,,8
Korea,23,UIJEONGBU,843,UIJONGBU FO,335821,60,NOV PREM V+ 4ST MULTI-DENOM,4009,9/19/2014,9/2/2023,335821-642974,9,October 2023,,,9
Korea,23,UIJEONGBU,843,UIJONGBU FO,335822,60,NOV PREM V+ 4ST MULTI-DENOM,4009,9/19/2014,9/2/2023,335822-642975,9,October 2023,,,9
Korea,23,UIJEONGBU,843,UIJONGBU FO,335827,60,BAL PRO CURVE QHBG (MLP),3210,3/3/2015,9/2/2023,335827-B141219217,8,October 2023,,,8
Korea,23,UIJEONGBU,843,UIJONGBU FO,336597,60,NOV PREM V+ 5sT,3158,4/28/2015,9/2/2023,336597-658765,8,October 2023,,,8
Korea,23,UIJEONGBU,843,UIJONGBU FO,336598,60,NOV PREM V+ 6sT,3160,4/28/2015,9/2/2023,336598-658759,8,October 2023,,,8
