Region,LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
Korea,K-16 C/C,20,776,Army,7.0,,5.0,,,,,12.0,1.0,1.0,2.0,16.0,16.0,November 2023
Korea,STATE'S GRILL,21,866,Army,6.0,,2.0,,,2.0,,10.0,1.0,,1.0,11.0,12.0,November 2023
Korea,HILLTOP,21,867,Army,5.0,10.0,,,8.0,,,4.0,23.0,1.0,1.0,24.0,29.0,November 2023
Korea,PERIMETER PUB,21,869,Army,6.0,,8.0,,,3.0,,3.0,17.0,1.0,1.0,18.0,22.0,November 2023
Korea,WINDY CITY,21,870,Army,,,,,,,,0.0,,,0.0,0.0,0.0,November 2023
Korea,EL GUERRERO,21,891,Army,8.0,,4.0,,3.0,2.0,,4.0,17.0,1.0,1.0,18.0,23.0,November 2023
Korea,TURTLE COVE,21,2521,Navy,6.0,,2.0,5.0,,,,13.0,1.0,,1.0,14.0,15.0,November 2023
Korea,IMPACT ZONE,23,797,Army,5.0,5.0,2.0,,4.0,,,6.0,16.0,1.0,1.0,17.0,24.0,November 2023
Korea,WARRIOR'S,23,798,Army,8.0,,4.0,,,2.0,,14.0,1.0,,1.0,15.0,16.0,November 2023
Korea,CASEY B/C,23,819,Army,6.0,4.0,4.0,,4.0,2.0,,20.0,1.0,,1.0,21.0,22.0,November 2023
Korea,CASEY LODGE,23,1940,Army,1.0,,,,2.0,,,4.0,3.0,1.0,1.0,4.0,9.0,November 2023
Korea,FLIGHTLINE,24,3166,Army,,,,,,,,0.0,,,0.0,0.0,0.0,November 2023
Korea,CAVE,24,3168,Army,14.0,9.0,8.0,,6.0,,,8.0,37.0,1.0,2.0,42.0,48.0,November 2023
Korea,HUMPHREYS B/C,24,839,Army,2.0,4.0,4.0,,4.0,,,14.0,1.0,1.0,2.0,18.0,18.0,November 2023
Korea,MORNING CALM,24,3158,Army,15.0,12.0,3.0,,24.0,3.0,,6.0,57.0,1.0,2.0,62.0,66.0,November 2023
Europe,ARMSTRONG'S,2,194,Army,10.0,5.0,9.0,,6.0,2.0,,10.0,32.0,1.0,2.0,37.0,45.0,December 2023
Europe,LCCC,2,195,Army,8.0,3.0,3.0,,6.0,,,1.0,20.0,1.0,2.0,25.0,24.0,December 2023
Europe,KAZABRA,2,196,Army,,,,,,,,0.0,,,0.0,0.0,0.0,December 2023
Europe,STRIKERS,2,218,Army,9.0,4.0,7.0,,6.0,1.0,,3.0,27.0,1.0,2.0,31.0,33.0,December 2023
Europe,GOLD MINE,2,1038,Army,3.0,4.0,7.0,3.0,3.0,2.0,,22.0,1.0,2.0,2.0,27.0,27.0,December 2023
Europe,ROB JAVA CAFE,2,2887,Army,4.0,,6.0,,4.0,1.0,,1.0,15.0,1.0,2.0,19.0,19.0,December 2023
Europe,SEMBACH C/C,2,3072,Army,7.0,,2.0,,3.0,2.0,,3.0,14.0,1.0,2.0,19.0,20.0,December 2023
