Service,Category,Region,Base,Location,Month,Year,Amount
Army,Revenue,Europe,Kaiserslautern,Sembach CC,November,2019,52707.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,December,2019,76715.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,January,2020,48788.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,February,2020,53534.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,March,2020,95816.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,April,2020,0.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,May,2020,0.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,June,2020,15051.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,July,2020,27306.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,August,2020,92554.0
Army,Revenue,Europe,Kaiserslautern,Sembach CC,September,2020,131035.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,October,2019,10169.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,November,2019,7988.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,December,2019,12677.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,January,2020,11481.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,February,2020,6823.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,March,2020,13396.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,April,2020,0.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,May,2020,0.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,June,2020,0.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,July,2020,1093.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,August,2020,8545.0
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,September,2020,7003.0
Army,Revenue,Europe,Livorno,Livorno Community Club,October,2019,1030.0
Army,Revenue,Europe,Livorno,Livorno Community Club,November,2019,1050.0
Army,Revenue,Europe,Livorno,Livorno Community Club,December,2019,0.0
Army,Revenue,Europe,Livorno,Livorno Community Club,January,2020,1271.0
Army,Revenue,Europe,Livorno,Livorno Community Club,February,2020,3002.0
Army,Revenue,Europe,Livorno,Livorno Community Club,March,2020,0.0
Army,Revenue,Europe,Livorno,Livorno Community Club,April,2020,0.0
