Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Month,Years_in_Storage,Age_int,Years_in_Storage_int
Korea,21,DAEGU,875,DAEGU F.O.,338024,60,AIN A620 M/M V-MONEY SAP M-JP,2234,1/8/2020,1/8/2020,338024-XAR697374,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,338025,60,AIN A620 M/M E-WEALTH SAP M-JP,2231,1/8/2020,1/8/2020,338025-XAR697375,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,338026,60,AIN A620 M/M I-LEGACY SAP M-JP,2232,1/8/2020,1/8/2020,338026-XAR697376,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,338036,60,IGT CRYSTAL D - MULTI SET 003,1966,7/2/2019,7/2/2019,338036-2469219,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,338037,60,IGT CRYSTAL D - MULTI SET 003,1966,7/2/2019,7/2/2019,338037-2469220,,0,,0
Korea,21,DAEGU,875,DAEGU F.O.,338038,60,IGT CRYSTAL D - MULTI SET 003,1966,7/2/2019,7/2/2019,338038-2469223,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,125377,740,IBM SUREPOS 4852,2038,9/26/2010,9/26/2010,125377-41D3441,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,332406,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/27/2001,5/4/2017,332406-1116738,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,332408,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/27/2001,5/4/2017,332408-1116742,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,332412,60,IGT iGAME CARNIVAL MYS 243 01,580,10/27/2001,5/4/2017,332412-1116751,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,332414,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/27/2001,11/17/2016,332414-1116745,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,332896,60,IGT iGAME CARNIVAL MYS 243 01,580,8/6/2003,11/17/2016,332896-1190984,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,332900,60,IGT iGAME AZTEC TEMPLE 243 01,579,4/2/2003,5/4/2017,332900-1190777,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,333232,70,DIEBOLD ACM,9001,8/9/2003,10/3/2019,333232-R10620538867,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,333249,60,NOV CF1+ ULT 10G,3109,6/18/2005,1/26/2017,333249-210520-173268,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,333250,60,NOV CF1+ ULT 10B,3115,6/18/2005,12/6/2017,333250-210590-173269,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,333279,60,NOV CF1+ ULT 10F,3106,7/2/2005,11/21/2015,333279-211560-173722,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,333433,70,ITC Smart Card Dispenser,1018,12/9/2003,12/22/2018,333433-23746,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,333449,70,ITC Smart Card Dispenser,1018,10/16/2003,10/3/2019,333449-23709,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334022,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/5/2004,4/6/2019,334022-1406071,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334064,60,IGT iGAME AZTEC TEMPLE 243 01,579,10/9/2004,4/6/2019,334064-1406582,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334493,60,BAL A M9 AMERICAN ORGIN 25L10C,571,9/29/2005,2/11/2015,334493-V050855605,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334547,60,NOV CF1+ ULT 10E,3103,7/19/2006,12/29/2017,334547-223685,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334745,60,BAL A M9 HOT SHOTS 20L5C PENNY,677,10/1/2005,9/12/2014,334745-V050855635,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334754,60,BAL A M9 AMERICAN ORGIN 25L10C,571,10/1/2005,10/10/2013,334754-V050855628,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334755,60,BAL A M9 HIDDEN RICHES 25L10C,573,10/1/2005,9/12/2014,334755-V050855629,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334756,60,BAL A M9 ANCNT WONDER 25L10C P,679,10/1/2005,9/12/2014,334756-V050855630,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334767,60,NOV CF1+ ULT 10H,3116,7/19/2006,5/4/2017,334767-223669,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,334770,60,BAL A S9 QH BLKGOLD 25L10C,569,5/6/2007,5/6/2016,334770-S070383032,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,335391,60,NOV PREM V+ 1sT,3152,8/15/2008,12/29/2017,335391-346877,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,335396,60,NOV PREM V+ 6sT,3160,8/15/2008,12/29/2017,335396-346878,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,335398,60,NOV PREM V+ 4sT,3156,8/15/2008,12/29/2017,335398-346869,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,335479,60,NOV CF1+ ULT 10D,3100,8/30/2007,10/29/2014,335479-285120,,0,,0
Korea,24,PYONGTAEK,897,PFO STORAGE,335530,60,BAL A S9 QH BLKGOLD 25L10C,569,5/3/2007,4/18/2015,335530-S070383013,,0,,0
