Service,Category,Region,Base,Location,Month,Year,Amount,Base_lat,Base_lon
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,April,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,May,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,June,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,July,2020,1093,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,August,2020,8545,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,September,2020,7003,49.440066,7.749126
Army,Revenue,Europe,Livorno,Livorno Community Club,October,2019,1030,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,November,2019,1050,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,December,2019,0,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,January,2020,1271,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,February,2020,3002,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,March,2020,0,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,April,2020,0,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,May,2020,0,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,June,2020,0,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,July,2020,6845,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,August,2020,4703,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,September,2020,6230,43.548473,10.310567
Army,Revenue,Europe,Schinnen,Schinnen Bowl,October,2019,19081,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,November,2019,14560,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,December,2019,107,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,January,2020,772,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,February,2020,6443,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,March,2020,5378,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,April,2020,-4504,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,May,2020,0,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,June,2020,0,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,July,2020,0,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,August,2020,0,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,September,2020,4694,50.94028,5.87832
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,October,2019,15924,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,November,2019,31984,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,December,2019,23984,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,January,2020,35443,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,February,2020,49882,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,March,2020,7438,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,April,2020,0,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,May,2020,0,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,June,2020,12784,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,July,2020,33715,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,August,2020,51685,48.775418,9.181759
