Date,AssetType,Balance,Category
2023-05-31,Prepaid Expenses,265579.32,ASSETS
2023-05-31,Fixed Assets,42240627.39,ASSETS
2023-05-31,Less Accum Depreciation,-31428026.19,ASSETS
2023-05-31,TOTAL ASSETS,49821151.52,ASSETS
2023-05-31,Accounts Payable,581348.79,LIABILITIES
2023-05-31,Distributions Payable,1926894.24,LIABILITIES
2023-05-31,Accrued Liabilities,1183955.03,LIABILITIES
2023-05-31,Accrued Salaries,318114.32,LIABILITIES
2023-05-31,Accrued Leave Payable,577866.10,LIABILITIES
2023-05-31,Total Liabilities,4588178.48,LIABILITIES
2023-05-31,EQUITY,45232973.04,EQUITY
2023-05-31,TOTAL LIABILITIES & EQUITY,49821151.52,EQUITY
2020-06-30,Cash,29332012.13,ASSETS
2020-06-30,Accounts Receivable,160543.71,ASSETS
2020-06-30,Prepaid Expenses,246833.87,ASSETS
2020-06-30,Fixed Assets,44357926.50,ASSETS
2020-06-30,Less Accum Depreciation,-30277092.64,ASSETS
2020-06-30,TOTAL ASSETS,43820223.57,ASSETS
2020-06-30,Accounts Payable,809975.16,LIABILITIES
2020-06-30,Accrued Liabilities,1312668.04,LIABILITIES
2020-06-30,Accrued Salaries,265498.09,LIABILITIES
2020-06-30,Accrued Leave Payable,541479.88,LIABILITIES
2020-06-30,Total Liabilities,2929621.17,LIABILITIES
2020-06-30,EQUITY,40890602.40,EQUITY
2020-06-30,TOTAL LIABILITIES & EQUITY,43820223.57,EQUITY
2021-06-30,Cash,37122758.00,ASSETS
2021-06-30,Accounts Receivable,99772.40,ASSETS
2021-06-30,Prepaid Expenses,278769.33,ASSETS
2021-06-30,Fixed Assets,44474738.16,ASSETS
2021-06-30,Less Accum Depreciation,-33097259.16,ASSETS
2021-06-30,TOTAL ASSETS,48878778.73,ASSETS
2021-06-30,Accounts Payable,412193.50,LIABILITIES
2021-06-30,Distributions Payable,2455786.22,LIABILITIES
2021-06-30,Accrued Liabilities,1252820.60,LIABILITIES
2021-06-30,Accrued Salaries,300950.92,LIABILITIES
2021-06-30,Accrued Leave Payable,586778.10,LIABILITIES
2021-06-30,Total Liabilities,5008529.34,LIABILITIES
2021-06-30,EQUITY,43870249.39,EQUITY
2021-06-30,TOTAL LIABILITIES & EQUITY,48878778.73,EQUITY
2022-06-30,Cash--Operating,20490623.98,ASSETS
2022-06-30,Cash--Restricted,21886087.87,ASSETS
2022-06-30,Accounts Receivable,256216.68,ASSETS
2022-06-30,Prepaid Expenses,293548.84,ASSETS
2022-06-30,Fixed Assets,41789687.43,ASSETS
2022-06-30,Less Accum Depreciation,-33867195.09,ASSETS
2022-06-30,TOTAL ASSETS,50848969.71,ASSETS
2022-06-30,Accounts Payable,1123939.18,LIABILITIES
2022-06-30,Distributions Payable,1592802.65,LIABILITIES
2022-06-30,Accrued Liabilities,1995060.70,LIABILITIES
2022-06-30,Accrued Salaries,344798.86,LIABILITIES
2022-06-30,Accrued Leave Payable,559395.28,LIABILITIES
2022-06-30,Total Liabilities,5615996.67,LIABILITIES
2022-06-30,EQUITY,45232973.04,EQUITY
2022-06-30,TOTAL LIABILITIES & EQUITY,50848969.71,EQUITY
2023-06-30,Cash--Operating,24945870.16,ASSETS
2023-06-30,Cash--Restricted,12934680.25,ASSETS
2023-06-30,Accounts Receivable,514459.92,ASSETS
2023-06-30,Prepaid Expenses,255506.02,ASSETS
2023-06-30,Fixed Assets,43778776.34,ASSETS
2023-06-30,Less Accum Depreciation,-31088860.28,ASSETS
2023-06-30,TOTAL ASSETS,51340432.41,ASSETS
2023-06-30,Accounts Payable,2174016.25,LIABILITIES
2023-06-30,Distributions Payable,1614443.95,LIABILITIES
2023-06-30,Accrued Liabilities,1331017.94,LIABILITIES
2023-06-30,Accrued Salaries,397410.15,LIABILITIES
2023-06-30,Accrued Leave Payable,590571.08,LIABILITIES
2023-06-30,Total Liabilities,6107459.37,LIABILITIES
2023-06-30,EQUITY,45232973.04,EQUITY
2023-06-30,TOTAL LIABILITIES & EQUITY,51340432.41,EQUITY
2020-07-31,Cash,30602582.21,ASSETS
2020-07-31,Accounts Receivable,130527.11,ASSETS
2020-07-31,Prepaid Expenses,264337.52,ASSETS
2020-07-31,Fixed Assets,45001161.46,ASSETS
2020-07-31,Less Accum Depreciation,-30636452.30,ASSETS
2020-07-31,TOTAL ASSETS,45362156.00,ASSETS
