Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Age,Years_in_Storage,Month,Age_int,Years_in_Storage_float,Years_in_Storage_int,BaseName_match,match_score,match_country,Latitude,Longitude
Korea,24,PYONGTAEK,897,PFO STORAGE,336372,60,BAL S9 QH GOLDEN BELL 25L10C,772,10/6/2009,9/10/2020,336372-S090819425,11,0.0,October 2020,11,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336507,60,BAL V22/22 AMERICAN ORIGINAL,3229,10/24/2015,10/17/2020,336507-150734300,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336528,60,BAL V22/22 AMERICAN ORIGINAL,3229,10/24/2015,10/17/2020,336528-B150734299,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336529,60,BAL V22/22 MULTI GAME SUITE 1,3225,10/24/2015,10/17/2020,336529-B150734302,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336574,60,WMS BLADE MULTI CHEST 5,1868,10/17/2015,5/14/2020,336574-5091348,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336575,60,WMS BLADE MULTI CHEST 6,1869,10/17/2015,5/14/2020,336575-5091328,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336576,60,WMS BLADE MULTI CHEST 5,1868,10/17/2015,3/27/2020,336576-5091349,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336578,60,WMS BLADE MULTI CHEST 6,1869,10/17/2015,3/27/2020,336578-5091352,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336593,60,NOV PREM V+ 4ST MULTI-DENOM,4009,4/28/2015,5/14/2020,336593-658761,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336692,60,NOV DOM PREMIUM ED 3 - 0.01,3084,3/7/2014,3/5/2020,336692-618385,6,0.0,October 2020,6,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336699,60,AIN A560 MULTI WIN15 (SAP-MJP),1381,12/10/2011,3/18/2020,336699-XAR647242,8,0.0,October 2020,8,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336801,60,WMS BLADE GOLDFISH 3,1857,2/27/2015,8/12/2020,336801-5077247,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,336895,60,WMS BLADE GOLDFISH 3,1857,8/26/2015,4/28/2020,336895-5088530,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
Korea,24,PYONGTAEK,897,PFO STORAGE,337003,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/20/2015,5/14/2020,337003-668827,5,0.0,October 2020,5,0.0,0,Pyeongtaek,0.9473684210526315,South Korea,36.992108,127.11294
