LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
LA PLAZA,43,2600,Navy,13.0,4.0,2.0,,6.0,4.0,,29.0,1.0,1.0,2.0,33.0,33.0,January 2021
ROTA LANES,43,2601,Navy,3.0,,3.0,1.0,5.0,1.0,,13.0,1.0,1.0,1.0,16.0,16.0,January 2021
ROTA FLEET CTR,43,2605,Navy,2.0,,2.0,1.0,,,,5.0,1.0,1.0,1.0,8.0,8.0,January 2021
BOQ,43,2890,Navy,4.0,,3.0,,2.0,1.0,,10.0,1.0,1.0,1.0,13.0,13.0,January 2021
GRAF E/C,46,413,Army,17.0,4.0,7.0,4.0,6.0,,,38.0,1.0,2.0,2.0,43.0,43.0,January 2021
HOHENFELS B/C,46,415,Army,4.0,4.0,4.0,4.0,2.0,,,18.0,1.0,2.0,2.0,23.0,23.0,January 2021
VILSECK B/C,46,417,Army,7.0,,,2.0,4.0,,,13.0,1.0,1.0,1.0,16.0,16.0,January 2021
LANGENBRUCK,46,1858,Army,11.0,4.0,4.0,,15.0,2.0,,36.0,1.0,2.0,2.0,41.0,41.0,January 2021
ALGIERS REC,46,3145,Army,6.0,,2.0,2.0,4.0,,,14.0,1.0,1.0,2.0,18.0,18.0,January 2021
THE VAULT,47,1669,Army,13.0,4.0,7.0,,17.0,2.0,,43.0,1.0,3.0,3.0,50.0,50.0,January 2021
KASTEL KLUB,47,1881,Army,9.0,,5.0,,2.0,1.0,,17.0,1.0,1.0,1.0,20.0,20.0,January 2021
